OBJECTID,fpbFtrID,fpbLong,fpbLat,fpbSiteID,fpbRevDt,fpbOFtrID,fpbONm,fpbOSiteID,fpbLocMd,fpbLocAccu,fpbLocDt,fpbFtrTy,fpbFtrNm,fpbRmvDt,fpbMltFtr,fpbFPasSta,fpbStaEvDt,fpbStaEvMd,fpbFySta,fpbFyCrit,fpbCrdDesc,Permanent_Identifier,ReachCode,Measure,EventDate,ReachSMDate,ReachResolution,fpbStrNm,fpbRdID,fpbRdMile,fpbRdNm,fpbLocONm,fpbFtrSTy,fpbFtrNmSr,fpbHeight,fpbLength,fpbWidth,fpbSlope,fpbDrop,fpbOrYr,fpbModDt,fpbModTy,fpbModDesc,fpbDesONm,fpbOwn,fpbLOwn,fpbOperate,fpbFyOwn,fpbOwnTy,fpbLOwnTy,fpbOwnONm,fpbFyTy,fpbFySTy,fpbFyOrYr,fpbFPasONm,fpbLocMdD,fpbFtrTyD,fpbFtrSTyD,fpbEvMdFAD,fpbEvMdPAD,fpbFyTyD,fpbOwnTyD,fpbLOwnTyD,fpbComment,fpbStrID,fpbStrMeas,OWEB_status,OWEB_userid,GlobalID,PriorityGroup
3912,5090,-123.8463727,45.21370621,5090,20150421,51497,ODFW,51497,Unknown,9999,0,Dam,Lower intake dam,,no,Unknown,0,NA,Unknown,,,{5C62110F-82A5-486B-9E7E-3B9532CCFE8A},17100203000592,5.936,2015-07-10T12:59:47.000,2012-02-24T00:00:00.000,2,Cedar Creek,,,,same,,other,,,,,,,,,,same,Oregon Department of Fish & Wildlife,,,,State,,same,Unknown,,,same,,Hatchery facility-related structure,,,,,,,"Second in four barrier series--one weir, three concrete dams.  No anadromous fish passage above barriers.",1238485452129,0.199,,,{8D567409-D3FA-47EC-8542-D9BB919C3F95},
3923,5134,-122.9986421,43.33570442,5134,20120516,51108,ODFW,51108,DigDerive,40,20081209,Dam,Rock Creek Diversion Dam,,no,Partial,20081209,OtherPartialAssess,NeedsMaint,unknown,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{BC99EE51-998C-43CB-AA6E-0769F5514A49},17100301000379,26.411,2015-07-10T12:59:47.000,2012-02-25T00:00:00.000,2,Rock Creek,,,,same,,other,20,,,,,,,,,same,Oregon Department of Fish & Wildlife,,,,State,,same,Pool,PoolAndWeir,,same,,Hatchery facility-related structure,,,,,,,Unknown barrier severity with fish ladder being replaced 2012,1230037433320,0.749,,,{3DE8976D-5C23-4A8C-A4A5-F99452DDF3BF},
4714,6625,-122.785399,42.25287571,6625,20151227,51188,ODFW,51188,DigDerive,40,20150818,Dam,M.I.D. Bear Creek Diversion,,no,Partial,20150818,OtherPartialAssess,NeedsMaint,no,,{9B58A82F-FE73-4D5B-B742-6AE3F13DD6BA},17100308000106,99.341,2019-09-30T13:40:08.000,2012-02-20T00:00:00.000,2,Bear Creek,,,,same,DamPermanent,other,9.800000191,12,150,0,0.5,,,,,APWC,Medford Irrigation District,,,,PubUtility,,same,Pool,PoolAndWeir,,same,Digitally derived (GIS road and stream intersections) with (resource grade) Field - GPS,Water diversion,,,,,,,"Have two fish ladders, one silts in.  Concrete dam with stop logs. 1 foot rise in Winter; marginal passage.  Not a priority in Rogue BiOP. 12ft long apron spans creek below dam, 3 feet thick.",1229691424326,29.069,,,{E51C0EAD-A41D-4516-823C-AC309EA837C5},Group 6
5062,7368,-122.2511603,45.40373403,7368,20090617,50380,ODFW,50380,Unknown,9999,0,Dam,Sandy Hatchery Water Intake Diversion Dam,,no,Blocked,20081028,OtherPartialAssess,NoneMitigation,,,{10B9B409-16F4-47EF-860D-7651A33ABD19},17080001000745,34.463,2015-07-10T12:59:51.000,2012-02-22T00:00:00.000,2,Cedar Creek,,,,same,,other,7,,,,,,,,,same,Unknown,,,,,,same,,,,same,,Hatchery facility-related structure,,,,,,,,1222689454111,1.363,,,{1B8004BA-D420-4F3E-BB2E-4DBFAB9CEED4},
9200,3631,-123.3585894,43.29670829,3631,20090617,51902,ODFW,51902,DigDerive,40,0,Dam,Mar-Linn Timber Corporation Dam,,no,Unknown,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{2EB55599-B144-4E97-BEED-3737D383041B},17100301002226,87.416,2015-07-10T13:00:07.000,2012-02-25T00:00:00.000,2,,,,,same,DamPermanent,other,22,,1300,,,1952,,,,same,Roseburg Resources,,,,Private,,same,Unknown,,,same,,,,,,,,,,1233721432978,1.428,,,{23FEBF91-AC9B-44CA-B3AD-9F5A7D425C86},
9201,3649,-123.5746437,44.77087291,3649,20090617,50458,ODFW,50458,Unknown,9999,0,Dam,Unknown,,no,Passable,20060327,OtherPartialAssess,Unknown,,,{DE2AC17F-E588-48F7-8995-A7F9F26185E2},17090003000088,56.932,2015-07-10T13:00:07.000,2012-02-23T00:00:00.000,2,Luckiamute River,,,,same,DamPermanent,other,20,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,ODFW,,,,,,,,,"Documented in 1959.  Ref. 598 reported this as a crib dam, the width as 150 feet, the length as 200 feet, and recommended removal.",1231480447559,80.55,,,{78D5661E-E26D-4CC6-A6FA-B9D032A299A5},
9202,3731,-121.5872986,45.50467738,3731,20090617,50276,ODFW,50276,Unknown,9999,0,Dam,Unknown,,no,UnkAnad,0,NA,Unknown,,,{9D5EF998-5672-46C1-854C-D617F012552A},17070105001557,52.859,2015-07-10T13:00:07.000,2012-02-24T00:00:00.000,2,Evans Creek,,,,same,DamPermanent,other,,,,,,,,,,same,Farmers Irrigation District,,,,PubUtility,,same,Unknown,,,same,,,,,,,,,,1215775455222,2.267,,,{4FD20C7D-485C-4AC6-8EB3-5760061FDC54},
9203,3765,-123.6621262,43.98611962,3765,20190927,53139,USBLM-OR-NW Oregon,53139,Unknown,9999,0,Dam,Whittaker Creek Dam,,no,UnkAnad,0,NA,Unknown,,,{E8FE43E7-D42F-4DDA-96CE-0A84516244B0},17100206000067,12.756,2019-09-27T12:37:18.000,2012-02-24T00:00:00.000,2,Whittaker Creek,,,,same,DamSeasonal,other,,,,,,,,,,same,U.S. Bureau of Land Management,,,,Federal,,same,Unknown,,,same,,,,,,,,,"BLM Campground. Apparently, this is a temporary dam that is in place from June to September.",1236573439856,0.294,,,{82C982DE-6F0D-49D9-A7B6-88F717F232F3},
9204,3799,-117.9311536,45.24635438,3799,20090617,51269,ODFW,51269,Unknown,9999,0,Dam,Lower Davis Dam,,no,UnkAnad,0,NA,FuncOkay,,,{7EAF22FB-0239-401E-90F1-319F05B93134},17060104000341,87,2015-07-10T13:00:07.000,2012-07-30T12:44:42.000,2,Catherine Creek,,,,same,DamPermanent,other,6,,,,,,,,,same,Sherman Crocket,,,,Private,,same,Pool,PoolAndWeir,,same,,,,,,,,,Documented in 1958-59.,1178722453139,18.296,,,{FEB2A72A-AB00-4906-8859-D959A196E672},
9205,3801,-117.8710547,45.21174361,3801,20090617,51271,ODFW,51271,Unknown,9999,0,Dam,Union Water Supply Dam,,no,UnkAnad,0,NA,Unknown,,,{98FBFDA5-C0F5-403F-81EF-441812EB475D},17060104000352,72.075,2015-07-10T13:00:07.000,2012-02-22T00:00:00.000,2,Catherine Creek,,,,same,DamPermanent,other,6,,40,,,,,,,same,Private,,,,Private,,same,Pool,PoolAndWeir,,same,,,,,,,,,Documented in 1957-59.  Ref. 519 reported the width as 40 feet.,1178722453139,26.581,,,{DC1BC9C1-F7F1-40AE-A515-C3F4804445BE},
9206,3802,-117.8527826,45.208652,3802,20090617,51272,ODFW,51272,Unknown,9999,0,Dam,Schwackhammer Dam,,no,UnkAnad,0,NA,Unknown,,,{281D8F8E-EEF8-49D0-9E7B-EB4E9187591E},17060104000353,1.178,2015-07-10T13:00:07.000,2012-07-20T00:00:00.000,2,Catherine Creek,,,,same,DamPermanent,other,5,,,,,,,,,same,Private,,,,Private,,same,Pool,PoolAndWeir,,same,,,,,,,,,"Identified as a Mitchell Act responsibility (Beiningen, memo, May, 1991).  Remedial construction completed in 1995.  Good passage conditions. Ref. 50088 reported the location as RM 18.25.",1178722453139,28.146,,,{A80FC2F7-30AC-4520-857C-E38411A99221},
9207,3806,-122.9357021,42.21252966,3806,20090617,51211,ODFW,51211,Unknown,9999,0,Dam,Unknown,,no,Unknown,0,NA,None,,,{9E782020-3299-4417-8A67-812E0566A5C7},17100309000417,18.266,2015-07-10T13:00:07.000,2012-02-20T00:00:00.000,2,,,,,same,DamPermanent,other,4,,,,,,,,,same,Unknown,,,,,,same,,,,ODFW,,,,,,,,,Dam located on bedrock falls. Ref. 50062 reported that it is unladdered and marginally passable.,1229474422103,1.73,,,{8CBB924F-CA4B-4E8D-8CC6-FF3436AF70CE},
9208,3807,-123.0187692,42.27432596,3807,20190927,51215,USBLM-OR-Medford,51215,Unknown,9999,0,Dam,Unknown,,no,Unknown,0,NA,None,,,{8C4D5577-AB19-482B-B667-A67A4FB204E2},17100309000268,33.904,2019-09-27T13:41:59.000,2012-02-20T00:00:00.000,2,Poormans Creek,,,,same,DamPermanent,other,6,,,,,,,,,same,U.S. Bureau of Land Management,,,,,,same,,,,ODFW,,,,,,,,,Described as a log mining dam.  Ref. 50062 reported that it is unladdered and impassable.,1230311422635,1.835,,,{9F27E705-838F-401D-8D62-2BA65F431324},
9209,3834,-122.9530764,42.39070115,3834,20090617,60351,ODFW,60351,DigDerive,40,0,Dam,Unknown,,no,UnkAnad,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{5924C9DA-BD25-40C4-861E-726C8D9896CB},17100308004598,19.439,2015-07-10T13:00:07.000,2012-02-20T00:00:00.000,2,,,,,same,DamPermanent,other,3,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,same,,,,,,,,,,1229447423920,0.637,,,{0CB7C5AE-5715-465D-9970-5234CF1994BC},
9210,3855,-117.8630469,45.36821747,3855,20090617,52201,ODFW,52201,DigDerive,40,0,Dam,Elmer Reservoir 4,,no,UnkAnad,0,NA,None,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{3680D8EA-EC98-424E-A254-CEA928D10CEC},17060104000084,63.878,2015-07-10T13:00:07.000,2012-02-22T00:00:00.000,2,Grande Ronde River,,,,same,DamPermanent,other,9,,80,,,1975,,,,same,Russell Elmer,,,,Private,,same,Unknown,,,same,,,,,,,,,"2 Meter Drop 6"" Board Removed From Dam",1169845460718,206.808,,,{FA197D50-9BB8-4A1D-8BE2-CCB872556949},
9211,3898,-117.0729462,44.17155009,3898,20090617,52041,ODFW,52041,DigDerive,40,0,Dam,Moores Hollow Reservoir Dam,,no,Unknown,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{5C2A728E-F225-4CAC-8F03-1171FB28FD55},17050201000179,99.805,2015-07-10T13:00:07.000,2012-02-19T00:00:00.000,2,,,,,same,DamPermanent,other,37,,1650,,,1964,,,,same,Dick Dehaven,,,,Private,,same,Unknown,,,same,,,,,,,,,,1170115441837,6.167,,,{EE01F487-2BE9-4BE0-858D-446815B51CEA},
9212,3899,-117.6080704,44.76278412,3899,20090617,52372,ODFW,52372,DigDerive,40,0,Dam,Turner Reservoir (Baker),,no,Unknown,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{339A6D39-BADB-4C0E-B517-55778E3AAEE6},17050203000592,55.267,2015-07-10T13:00:07.000,2012-02-21T00:00:00.000,2,Second Creek,,,,same,DamPermanent,other,12,,200,,,1892,,,,same,"Joseph, David, and Zaide Turner",,,,Private,,same,Unknown,,,same,,,,,,,,,,1176055447975,4.357,,,{46C79E66-295F-4404-9CEE-989909056622},
